CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12,CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href,CompactOpportunityCardsc__NotDisclosedMessage-sc-dkg8my-27,TagStyle__TagContent-sc-66xi2f-0,TagStyle__TagContentWrapper-sc-r1wv7a-1,TagStyle__TagContentWrapper-sc-r1wv7a-1 2,TagStyle__TagContentWrapper-sc-r1wv7a-1 3,TagStyle__TagContentWrapper-sc-r1wv7a-1 4,TagStyle__TagContentWrapper-sc-r1wv7a-1 5,ThumborImagesc__CustomImage-sc-1uzwahj-0 src,stylessc__ShieldBadge-sc-1cbkdr9-1 src,CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14,CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3,CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26,CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32
Functional Business Analyst (for Retail Company),https://glints.com/id/opportunities/jobs/functional-business-analyst-for-retail-company/35392067-342f-417a-8c73-21e907feb828?utm_referrer=explore&traceInfo=777571d969324617afc7ada2c25ac1e8,,,Hybrid,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/127fa573c6dc515e5c363f5eca3d38ed.jpeg,,Pt Total Cloud Solutions,https://glints.com/id/companies/pt-total-cloud-solutions/5b0621f4-7da9-4422-bbba-284bdd55b64a,Grogol Petamburan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/grogol-petamburan,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,1 bulan yang lalu,Rp 10 jt-20 jt
Analis Kredit Lapangan - Cab,https://glints.com/id/opportunities/jobs/analis-kredit-lapangan-cab/5bf73ca0-7439-4bf6-b99c-9f113593de68?utm_referrer=explore&traceInfo=777571d969324617afc7ada2c25ac1e8,,Perusahaan Premium,Penuh Waktu,Kurang dari setahun,Minimal SMA/SMK,Negotiation Skills,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/b4b6d4378e7834800bf5395c8685ce8d.jpg,https://glints.com/images/icons/vip-badge.svg,Nusantara Sakti Group,https://glints.com/id/companies/nusantara-sakti-group/209f29d1-24c3-446a-a2c9-4c141e993b44,Grogol Petamburan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/grogol-petamburan,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,2 hari yang lalu,"Rp 2,3 jt-5,7 jt"
IoT & Data Engineer Staff,https://glints.com/id/opportunities/jobs/iot-and-data-engineer-staff/0514bdde-da77-4ca3-a1c8-b5b5f84b05e6?utm_referrer=explore&traceInfo=777571d969324617afc7ada2c25ac1e8,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),SQL,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/b7d07e89cf6f651e564d836037b9afe8.png,,PT Kosmetika Global Indonesia (Kosme Group),https://glints.com/id/companies/pt-kosmetika-global-indonesia-kosme-group/35e380f1-e4dc-480d-a923-4ad4807443f7,Tenggilis Mejoyo,https://glints.com/id/job-location/indonesia/jawa-timur/surabaya/tenggilis-mejoyo,Surabaya,https://glints.com/id/job-location/indonesia/jawa-timur/surabaya,Jawa Timur,https://glints.com/id/job-location/indonesia/jawa-timur,8 hari yang lalu,Rp 5 jt-8 jt
Credit Analyst Corporate Specialist,https://glints.com/id/opportunities/jobs/credit-analyst-corporate-specialist/a19aaebb-00b6-487b-b010-5fec64d2ffe2?utm_referrer=explore&traceInfo=777571d969324617afc7ada2c25ac1e8,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Microsoft Office,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/df994f420d4973296a66284a0f599467.png,https://glints.com/images/icons/vip-badge.svg,PT BPR Kredit Mandiri Indonesia,https://glints.com/id/companies/pt-bpr-kredit-mandiri-indonesia/0ef7cb8d-afb7-4ec3-99b9-a39e64e99a2c,Serpong,https://glints.com/id/job-location/indonesia/banten/tangerang-selatan/serpong,Tangerang Selatan,https://glints.com/id/job-location/indonesia/banten/tangerang-selatan,Banten,https://glints.com/id/job-location/indonesia/banten,Kemarin,
Sales and Marketing Analyst,https://glints.com/id/opportunities/jobs/sales-and-marketing-analyst/02ef823d-af2b-42e0-9c91-077ae71a6555?utm_referrer=explore&traceInfo=777571d969324617afc7ada2c25ac1e8,,,Hybrid,Freelance,1 – 3 tahun,Minimal Sarjana (S1),3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/99f0a3b0cf03150e65e83da9a5d06456.jpg,,PT. Taso Indonesia Raya,https://glints.com/id/companies/pt-taso-indonesia-raya/6d83bbc0-c747-4b1f-92fc-14e8f9420071,Kembangan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kembangan,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,2 hari yang lalu,"Rp 2 jt-2,5 jt"
Admin Reporting Analyst ( Yogyakarta ),https://glints.com/id/opportunities/jobs/admin-reporting-analyst-yogyakarta/50cc4708-bcbf-43be-bfd5-cdc8324e9558?utm_referrer=explore&traceInfo=777571d969324617afc7ada2c25ac1e8,,Perusahaan Premium,Remote/Dari rumah,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f5da623650bc6a27d46d78fc96a25710.jpg,https://glints.com/images/icons/vip-badge.svg,Ultimo Solution,https://glints.com/id/companies/ultimo-solution/cd6a1a94-d25a-422a-ac0a-c331256be05a,Kemantren Gondokusuman,https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/yogyakarta-jogja/kemantren-gondokusuman,Yogyakarta,https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/yogyakarta-jogja,DI Yogyakarta,https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja,2 hari yang lalu,"Rp 2,5 jt-3,4 jt"
Consultant,https://glints.com/id/opportunities/jobs/consultant/2cb87354-ba70-4c74-8028-fa850c138a58?utm_referrer=explore&traceInfo=777571d969324617afc7ada2c25ac1e8,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Presentation Skills,12,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/fba90e6333be565f8d7fcd08bf3c4890.jpeg,,YAMADA Consulting & Spire Indonesia,https://glints.com/id/companies/yamada-consulting-and-spire-indonesia/1520e05b-3045-4c2a-8aae-3100c2940181,Tanah Abang,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/tanah-abang,Jakarta Pusat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,23 hari yang lalu,Rp 7 jt
IT Sales,https://glints.com/id/opportunities/jobs/it-sales/e6b5155d-db9b-4cb0-b168-2af0bf789062?utm_referrer=explore&traceInfo=777571d969324617afc7ada2c25ac1e8,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal SMA/SMK,Client Relations,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0e5b3ecc-09db-4625-a748-4aa7a397ed6d.jpg,https://glints.com/images/icons/vip-badge.svg,PT. MILLION DATA SOLUTION,https://glints.com/id/companies/pt-million-data-solution/cf30684a-5c12-41e2-87ae-3a10b860b2bb,Kemayoran,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/kemayoran,Jakarta Pusat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,12 hari yang lalu,Rp 3 jt-5 jt
Sales and Marketing Analyst,https://glints.com/id/opportunities/jobs/sales-and-marketing-analyst/b577e0e2-b82e-4b0a-a5e2-a951450543a3?utm_referrer=explore&traceInfo=777571d969324617afc7ada2c25ac1e8,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Marketing Communications,7,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/8d078e5773e886c8f9ea78b194603e7e.jpeg,https://glints.com/images/icons/vip-badge.svg,PT Karunia Agung Cemerlang,https://glints.com/id/companies/pt-karunia-agung-cemerlang/8be31396-63d2-48f4-ba01-34405acd4656,Benowo,https://glints.com/id/job-location/indonesia/jawa-timur/surabaya/benowo,Surabaya,https://glints.com/id/job-location/indonesia/jawa-timur/surabaya,Jawa Timur,https://glints.com/id/job-location/indonesia/jawa-timur,9 hari yang lalu,Rp 5 jt-6 jt
Bussiness Analyst (CargoWise),https://glints.com/id/opportunities/jobs/bussiness-analyst-cargowise/5d5efb42-c05d-4491-8b31-62a4b656fd55?utm_referrer=explore&traceInfo=777571d969324617afc7ada2c25ac1e8,,,Hybrid,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),7,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f65953fb9a05bfb781ebb10d9107864f.png,,OneByOne Logistical,https://glints.com/id/companies/onebyone-logistical/a0e7827d-2574-4dd4-abad-50b4b9b8a012,Kuta,https://glints.com/id/job-location/indonesia/bali/kab-badung/kuta,Kab. Badung,https://glints.com/id/job-location/indonesia/bali/kab-badung,Bali,https://glints.com/id/job-location/indonesia/bali,16 hari yang lalu,"Rp 5 jt-7,5 jt"
Data Center (Server) Operation,https://glints.com/id/opportunities/jobs/data-center-server-operation/5a787371-c3bd-48e1-8abf-39c925a81de9?utm_referrer=explore&traceInfo=777571d969324617afc7ada2c25ac1e8,,Perusahaan Premium,Penuh Waktu,Kurang dari setahun,Minimal SMA/SMK,Network Security,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/34181ed7097881edee812f4d9b1e9e4d.png,https://glints.com/images/icons/vip-badge.svg,PT. Ebdesk Teknologi,https://glints.com/id/companies/pt-ebdesk-teknologi/b152ed68-e27f-4c07-91a3-922ae1aafc09,Pondok Aren,https://glints.com/id/job-location/indonesia/banten/tangerang-selatan/pondok-aren,Tangerang Selatan,https://glints.com/id/job-location/indonesia/banten/tangerang-selatan,Banten,https://glints.com/id/job-location/indonesia/banten,20 hari yang lalu,Rp 5 jt-6 jt
Sales and Marketing Analyst,https://glints.com/id/opportunities/jobs/sales-and-marketing-analyst/2d62b2bf-dc7a-414a-ade8-0820001c5493?utm_referrer=explore&traceInfo=777571d969324617afc7ada2c25ac1e8,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Sales Strategy,5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a2402f7ca4a7ef59d9a2b2f0d83ab687.jpeg,,Dapur Coet,https://glints.com/id/companies/dapur-coet/c8870217-bd31-4280-9e6f-89d9a6f8c0eb,Mampang Prapatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/mampang-prapatan,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,10 hari yang lalu,"Rp 3 jt-4,4 jt"
System Analyst - Banking Industry,https://glints.com/id/opportunities/jobs/system-analyst-banking-industry/837b2b2f-55b3-4ead-baec-7e39aec4c965?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),System Analysis,7,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png,https://glints.com/images/icons/vip-badge.svg,PT Sigma Global Teknologi,https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae,Tanah Abang,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/tanah-abang,Jakarta Pusat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,1 bulan yang lalu,Rp 10 jt-13 jt
Business Analyst (Pricing Analyst),https://glints.com/id/opportunities/jobs/business-analyst-pricing-analyst/1e93be99-5d6f-431d-8774-69ee04850368?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,,Remote/Dari rumah,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),8,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f1e1863afc1a8f852befa3b5687041f5.jpg,,Y Ventures Group Ltd.,https://glints.com/id/companies/y-ventures-group-ltd/4d9d65d6-f46b-4e4b-9ddb-c69db63dc223,Kebayoran Baru,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/kebayoran-baru,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,16 hari yang lalu,Rp 7 jt-13 jt
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/ec83d688-5efd-4025-a5a6-91a4c5f218c7?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Java,5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/aeae5ee7a31258171d8286a9dfb23d01.jpg,,PT Data Labs Analytics,https://glints.com/id/companies/pt-data-labs-analytics/3cb2fc92-abaf-49d2-be8a-87f6a1a2c602,Tanah Abang,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/tanah-abang,Jakarta Pusat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,1 jam yang lalu,"Rp 5,5 jt-7,5 jt"
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/d5e481e3-cb54-4196-a6d6-792bf2799360?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),SQL,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/c5d9f3a15733d2d43a5b19bae2c82738.png,,PT. Dynamics Management Solution,https://glints.com/id/companies/pt-dynamics-management-solution/96b1c444-1fa5-4935-b3a3-c9868d972f9c,Kebayoran Baru,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/kebayoran-baru,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,2 hari yang lalu,Rp 10 jt-20 jt
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/d2b08f5a-556f-474c-872b-95998ffc9518?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Microsoft SQL Server,7,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/38038f81ca6c4d4d64e90422b84b4d64.png,,Indivara Teknologi Quantum,https://glints.com/id/companies/indivara-teknologi-quantum/4a75ab03-8184-467e-af94-864462e09a23,Taman Sari,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/taman-sari,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,5 hari yang lalu,Rp 12 jt-14 jt
Data Governance,https://glints.com/id/opportunities/jobs/data-governance/c87d2e9d-a306-42b4-85da-42ad339046b1?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),IT Security,7,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/38038f81ca6c4d4d64e90422b84b4d64.png,,Indivara Teknologi Quantum,https://glints.com/id/companies/indivara-teknologi-quantum/4a75ab03-8184-467e-af94-864462e09a23,Taman Sari,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/taman-sari,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,5 hari yang lalu,Rp 10 jt-13 jt
Data Engineer - Banking,https://glints.com/id/opportunities/jobs/data-engineer-banking/716f686d-26ff-4215-b14e-f901d65ffeb3?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Visual Studio .net,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png,https://glints.com/images/icons/vip-badge.svg,PT Sigma Global Teknologi,https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,20 hari yang lalu,Rp 8 jt-9 jt
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/5571c8a4-40a3-4c10-8170-b0de1c205269?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,,Remote/Dari rumah,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),7,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/5aa44b46a1340f274d8021d17d09c672.png,,XCIDIC,https://glints.com/id/companies/xcidic/35e0e91f-c64b-42c1-bf25-3384bea571ce,Kembangan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kembangan,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,23 hari yang lalu,"Rp 6,5 jt-10 jt"
System Analyst,https://glints.com/id/opportunities/jobs/system-analyst/56864d56-06c2-4597-9df7-a3d209b325f8?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,,Hybrid,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),7,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/70e1c085e390061ce5081843d0086337.jpeg,,PT Digitalinstincts Technology,https://glints.com/id/companies/pt-digitalinstincts-technology/86158215-68f1-49d3-a5c7-c1eb3f5a45e9,Kelapa Gading,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara/kelapa-gading,Jakarta Utara,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,7 hari yang lalu,Rp 8 jt-12 jt
DATA ENGINEER,https://glints.com/id/opportunities/jobs/data-engineer/e0a5c470-1684-420d-a09a-221500192e30?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Loading (etl),3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/077c15e429d92407675c40704d7d9cf6.jpeg,,PT. Kulego Tiga Kreasi,https://glints.com/id/companies/pt-kulego-tiga-kreasi/39d6b668-7633-4a7d-a279-f209740a71f5,Grogol Petamburan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/grogol-petamburan,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,1 bulan yang lalu,Rp 7 jt-15 jt
Fraud Analyst,https://glints.com/id/opportunities/jobs/fraud-analyst/b4d55df8-3bbe-4667-9657-3456af512b31?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,,Kontrak,1 – 3 tahun,Minimal Diploma (D1 - D4),Risk Management,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3ebe0b9edaf7cf694ecd779d72af71df.jpg,,PT. Nawa Data Solutions,https://glints.com/id/companies/pt-nawa-data-solutions/aca98c95-3655-4178-b943-3330359d8ae8,Menteng,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/menteng,Jakarta Pusat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,Kemarin,Rp 7 jt-10 jt
Logistics Analyst,https://glints.com/id/opportunities/jobs/logistics-analyst/88640052-f071-4601-afed-2c810ac6004d?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Warehouse Management,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/fb7bfe4af6a94109c1e0e3f796576e58.png,,Pt. Sinotrans Csc Indonesia,https://glints.com/id/companies/pt-sinotrans-csc-indonesia/47116f81-515a-49ee-8175-a66581ed2023,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,19 hari yang lalu,Rp 5 jt-7 jt
Social Media Analyst,https://glints.com/id/opportunities/jobs/social-media-analyst/4523fe40-a5e9-4dfc-9db2-878a9b7d10d7?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Affiliate Marketing,6,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0d9d3b45ed1fbaefd0d3105d39636704.png,https://glints.com/images/icons/vip-badge.svg,PT. Harfia Construction Machinery,https://glints.com/id/companies/pt-harfia-construction-machinery/a94310e8-a784-43f1-8ee2-c9044e6cf21c,Balaraja,https://glints.com/id/job-location/indonesia/banten/kab-tangerang/balaraja,Kab. Tangerang,https://glints.com/id/job-location/indonesia/banten/kab-tangerang,Banten,https://glints.com/id/job-location/indonesia/banten,5 hari yang lalu,"Rp 1,5 jt-3 jt"
Support Analyst,https://glints.com/id/opportunities/jobs/support-analyst/fdd25f83-04c7-4a57-bddd-f3935bceec7c?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),Communication Skills,6,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/23f246171e56f9be99201b308191f5e8.png,,PT. Pinteraktif Media Cabang Bandung,https://glints.com/id/companies/pt-pinteraktif-media-cabang-bandung/edc0df5b-ed3f-45e7-b470-18a010a5184b,Cibeunying Kaler,https://glints.com/id/job-location/indonesia/jawa-barat/bandung/cibeunying-kaler,Bandung,https://glints.com/id/job-location/indonesia/jawa-barat/bandung,Jawa Barat,https://glints.com/id/job-location/indonesia/jawa-barat,Kemarin,"Rp 4 jt-4,5 jt"
IT System Analyst,https://glints.com/id/opportunities/jobs/it-system-analyst/371ee83e-2f24-431f-b497-2d3816b01693?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Diploma (D1 - D4),.NET,9,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/de9428828304cf44fde219d0bc156081.png,https://glints.com/images/icons/vip-badge.svg,PT ARKAMAYA.,https://glints.com/id/companies/pt-arkamaya/05b80024-40b8-45af-b044-2c47abfb5824,Bandung Kidul,https://glints.com/id/job-location/indonesia/jawa-barat/bandung/bandung-kidul,Bandung,https://glints.com/id/job-location/indonesia/jawa-barat/bandung,Jawa Barat,https://glints.com/id/job-location/indonesia/jawa-barat,27 hari yang lalu,
IT System Analyst,https://glints.com/id/opportunities/jobs/it-system-analyst/e8488b25-378c-444f-ad96-55226498cfbd?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Diploma (D1 - D4),Go / Golang,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png,https://glints.com/images/icons/vip-badge.svg,PT Sigma Global Teknologi,https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,27 hari yang lalu,
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/e16c3538-151b-4b61-a2f2-4f4804f88335?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Kanban,10,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/e5c137efb8d2c3585477711162e1530b.png,https://glints.com/images/icons/vip-badge.svg,PT Avows Technologies,https://glints.com/id/companies/pt-avows-technologies/1987829a-4218-47f6-a70f-26e6fcbf3f9b,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,6 hari yang lalu,"Rp 6 jt-7,5 jt"
